Name,Quantity,Component
"U1",1," Arduino Uno R3"
"SERVO1",1,"Positional Micro Servo"
"PIEZO1",1," Piezo"
"S1",1," Pushbutton"
"R1, R2, R3",3,"220 Ω Resistor"
"C1",1,"1 uF, 16 V Polarized Capacitor"
"D1",1,"Green LED"
"D2",1,"Red LED"
"D3",1,"Yellow LED"
"R4",1,"1 MΩ Resistor"
"R5",1,"10 kΩ Resistor"
